Date,Open,High,Low,Close,Adj Close,Volume
2019-10-08,44.200001,44.330002,43.009998,43.009998,41.228737,11777200
2019-10-09,43.570000,44.340000,43.099998,44.200001,42.369461,9264000
2019-10-10,44.290001,44.820000,44.020000,44.400002,42.561180,6469000
2019-10-11,44.799999,45.389999,44.750000,45.230000,43.356796,9108300
2019-10-14,45.240002,45.560001,44.830002,45.000000,43.136326,6863500
2019-10-15,44.970001,45.180000,44.270000,44.380001,42.542004,14788500
2019-10-16,44.400002,45.360001,43.900002,45.000000,43.136326,15239700
2019-10-17,45.330002,45.700001,44.580002,44.910000,43.050060,24953800
2019-10-18,46.000000,46.549999,45.500000,46.060001,44.152428,47116600
2019-10-21,46.299999,46.750000,45.770000,46.400002,44.478352,15751100
2019-10-22,46.500000,47.669998,46.439999,47.400002,45.436932,17097300
2019-10-23,47.349998,48.360001,46.880001,47.599998,45.628643,20761300
2019-10-24,47.740002,48.080002,46.709999,47.299999,45.341072,22140500
2019-10-25,47.279999,48.049999,47.110001,47.730000,45.753265,10461600
2019-10-28,47.849998,48.790001,47.700001,48.790001,46.769367,14499600
2019-10-29,48.590000,49.110001,48.459999,48.660000,46.644753,10394400
2019-10-30,48.610001,49.419998,47.529999,49.419998,47.373272,15748200
2019-10-31,48.900002,49.000000,47.950001,48.150002,46.155869,14170300
2019-11-01,48.439999,48.799999,47.450001,47.959999,45.973740,12304300
2019-11-04,48.150002,48.549999,47.400002,47.689999,45.714916,11123000
2019-11-05,47.799999,48.450001,47.630001,47.990002,46.002495,9246200
2019-11-06,48.000000,48.480000,47.349998,47.669998,45.695744,10844200
2019-11-07,48.049999,48.480000,47.459999,47.669998,45.695744,14498100
2019-11-08,47.360001,47.750000,46.560001,47.000000,45.053501,16805900
2019-11-11,46.740002,47.430000,46.410000,47.240002,45.283558,10123900
2019-11-12,47.029999,47.540001,46.349998,46.720001,44.785095,16508300
2019-11-13,46.430000,46.689999,45.810001,45.950001,44.046986,13087600
2019-11-14,46.130001,46.750000,45.759998,46.509998,44.583790,12033500
2019-11-18,47.000000,47.150002,46.000000,46.529999,44.602962,15585600
2019-11-19,46.349998,46.470001,45.709999,45.790001,43.893608,8118000
2019-11-21,45.750000,46.490002,45.650002,46.380001,44.459179,11252800
2019-11-22,46.090000,46.900002,45.919998,46.750000,45.169365,7639800
2019-11-25,46.759998,46.939999,46.270000,46.599998,45.024433,7430100
2019-11-26,46.349998,46.380001,45.560001,46.000000,44.444717,15330000
2019-11-27,46.200001,47.380001,45.490002,47.340000,45.739418,11237900
2019-11-28,46.939999,47.669998,46.560001,47.599998,45.990620,6909900
2019-11-29,47.639999,47.990002,47.410000,47.810001,46.193531,7285500
2019-12-02,47.810001,48.330002,47.430000,47.430000,45.826374,9727400
2019-12-03,48.139999,48.689999,47.950001,48.389999,46.753914,17536700
2019-12-04,48.389999,49.130001,48.299999,49.090000,47.430248,15029100
2019-12-05,49.160000,49.270000,48.310001,48.669998,47.024452,9473100
2019-12-06,48.580002,48.990002,48.270000,48.470001,46.831211,9635700
2019-12-09,48.349998,48.950001,48.310001,48.619999,46.976135,8429900
2019-12-10,48.549999,48.740002,47.660000,47.919998,46.299805,6527300
2019-12-11,48.049999,48.369999,47.560001,47.849998,46.232174,9979700
2019-12-12,48.000000,48.910000,47.860001,48.910000,47.430965,8498200
2019-12-13,48.860001,49.500000,48.360001,48.529999,47.062454,18029900
2019-12-16,48.759998,49.250000,47.869999,47.869999,46.422409,12007400
2019-12-17,48.139999,48.950001,47.919998,48.950001,47.469753,10542000
2019-12-18,48.750000,50.709999,48.630001,50.639999,49.108650,20459600
2019-12-19,50.299999,51.160000,50.080002,51.160000,49.612923,12193800
2019-12-20,50.950001,51.099998,50.240002,51.060001,49.515949,9537300
2019-12-23,50.959999,52.599998,50.740002,52.599998,51.009377,8803400
2019-12-26,52.480000,53.259998,52.349998,53.200001,51.591236,10031600
2019-12-27,53.349998,53.669998,52.259998,52.970001,51.368191,8633100
2019-12-30,53.099998,53.340000,52.820000,52.820000,51.222725,7839900
2020-01-02,53.349998,53.970001,53.169998,53.799999,52.173092,13159900
2020-01-03,53.099998,53.910000,52.849998,53.709999,52.085812,9465400
2020-01-06,53.400002,53.400002,52.450001,53.000000,51.397282,9999900
2020-01-07,53.000000,53.029999,52.290001,52.599998,51.009377,10638500
2020-01-08,52.759998,52.990002,52.040001,52.119999,50.543892,21468600
2020-01-09,52.200001,52.330002,50.730000,51.060001,49.515949,24743000
2020-01-10,51.160000,51.439999,49.560001,49.860001,48.352238,15348200
2020-01-13,49.980000,50.500000,49.610001,50.419998,48.895302,14181900
2020-01-14,50.279999,50.490002,49.750000,50.150002,48.633469,8765000
2020-01-15,49.930000,50.020000,48.849998,49.230000,47.741291,14501900
2020-01-16,49.470001,49.779999,48.980000,49.450001,47.954639,11872600
2020-01-17,49.860001,50.270000,49.730000,50.119999,48.604370,11421800
2020-01-20,50.000000,50.349998,49.270000,49.799999,48.294052,8498300
2020-01-21,49.549999,49.650002,48.049999,48.360001,46.897598,14479200
2020-01-22,48.810001,48.990002,48.290001,48.740002,47.266109,10459400
2020-01-23,48.540001,51.480000,48.380001,51.480000,49.923248,21624500
2020-01-24,51.400002,51.480000,50.799999,50.799999,49.263805,9150300
2020-01-27,50.060001,51.070000,49.730000,50.299999,48.778931,12015900
2020-01-28,50.799999,51.150002,50.080002,50.709999,49.176533,7646400
2020-01-29,51.000000,51.380001,49.360001,49.459999,47.964329,8400200
2020-01-30,48.700001,49.990002,48.369999,49.799999,48.294052,12539900
2020-01-31,49.110001,49.119999,48.220001,48.540001,47.072151,16126400
2020-02-03,48.549999,49.139999,48.009998,48.779999,47.304893,10201400
2020-02-04,49.290001,49.599998,48.250000,48.250000,46.790924,11766600
2020-02-05,49.200001,51.290001,49.099998,50.400002,48.875904,23691700
2020-02-06,51.000000,51.049999,49.250000,49.549999,48.051609,9662900
2020-02-07,49.549999,50.320000,49.259998,49.599998,48.100098,7795000
2020-02-10,49.709999,49.990002,48.880001,49.110001,47.624916,7785300
2020-02-11,49.919998,51.650002,49.680000,51.320000,49.768082,18096500
2020-02-12,51.869999,52.360001,50.669998,51.619999,50.059013,16617100
2020-02-13,51.349998,51.540001,50.450001,50.820000,49.283203,13806300
2020-02-14,50.880001,50.959999,49.570000,49.849998,48.342537,10022700
2020-02-17,50.080002,50.240002,49.099998,49.099998,47.615215,6749000
2020-02-18,48.959999,49.900002,48.700001,49.570000,48.071011,8929100
2020-02-19,49.500000,50.330002,49.150002,49.689999,48.187370,11148100
2020-02-20,50.000000,50.049999,48.680000,49.180000,47.692802,12052200
2020-02-21,48.810001,49.220001,48.330002,49.220001,47.731594,6435600
2020-02-26,null,null,null,null,null,null
2020-02-27,44.799999,47.590000,44.380001,45.790001,44.804825,31472900
2020-02-28,46.150002,46.860001,44.570000,46.860001,45.851807,26379200
2020-03-02,46.820000,47.490002,46.299999,47.150002,46.135567,13210200
2020-03-03,46.709999,47.360001,45.110001,45.770000,44.785252,21553700
2020-03-04,46.450001,46.689999,45.000000,45.820000,44.834179,19234000
2020-03-05,45.259998,45.570000,42.299999,43.110001,42.182487,25846800
2020-03-06,41.799999,42.720001,41.240002,42.299999,41.389915,19025700
2020-03-09,38.450001,40.189999,36.299999,37.630001,36.820389,25174600
2020-03-10,39.520000,40.689999,37.630001,39.610001,38.757793,32436700
2020-03-11,38.599998,38.820000,34.230000,36.189999,35.411369,25003500
2020-03-12,29.200001,31.950001,26.559999,31.250000,30.731712,31542400
2020-03-13,36.240002,37.669998,31.709999,36.490002,35.884804,40778100
2020-03-16,30.500000,32.799999,29.549999,30.400000,29.895809,31345200
2020-03-17,31.400000,33.290001,30.059999,31.870001,31.341431,27033700
2020-03-18,29.170000,30.160000,25.320000,26.610001,26.168669,38293300
2020-03-19,25.500000,27.690001,23.340000,25.570000,25.145916,41664900
2020-03-20,27.000000,27.900000,24.330000,24.600000,24.192003,29675100
2020-03-23,25.000000,25.000000,21.910000,22.129999,21.762968,26808100
2020-03-24,24.200001,26.480000,23.799999,25.920000,25.490110,25799300
2020-03-25,25.930000,30.570000,25.730000,29.030001,28.548532,25020600
2020-03-26,29.340000,31.670000,29.280001,30.490000,29.984316,25660000
2020-03-27,28.780001,29.500000,28.020000,28.240000,27.771633,20802400
2020-03-30,28.900000,29.459999,28.309999,28.990000,28.509195,15768600
2020-03-31,29.200001,29.500000,27.430000,27.889999,27.427439,18904200
2020-04-01,26.900000,27.280001,26.049999,26.709999,26.267008,19826600
2020-04-02,26.950001,27.799999,26.309999,27.020000,26.571869,15722400
2020-04-03,26.850000,26.889999,25.000000,25.500000,25.077078,18968100
2020-04-06,27.150000,28.299999,26.740000,27.860001,27.397938,21414000
2020-04-07,29.450001,30.500000,29.170000,29.170000,28.686211,21514700
2020-04-08,29.299999,30.549999,28.580000,29.730000,29.236921,19894100
2020-04-09,30.340000,30.879999,29.459999,29.650000,29.158249,17525600
2020-04-13,29.760000,30.299999,28.700001,30.240000,29.738464,18028700
2020-04-14,30.940001,31.650000,30.000000,30.209999,29.708961,17769700
2020-04-15,29.480000,30.240000,29.000000,29.650000,29.158249,16748200
2020-04-16,30.100000,30.379999,28.799999,28.799999,28.322346,20734200
2020-04-17,29.549999,30.059999,29.030001,29.580000,29.089409,18615000
2020-04-20,29.000000,29.490000,28.520000,28.990000,28.509195,17775000
2020-04-22,28.889999,29.150000,28.629999,28.860001,28.381351,20198900
2020-04-23,29.200001,29.629999,27.610001,28.049999,27.584784,21708800
2020-04-24,27.629999,27.700001,24.000000,24.299999,23.896978,73978000
2020-04-27,25.500000,26.200001,25.110001,25.690001,25.263927,32132800
2020-04-28,27.219999,29.250000,27.110001,29.139999,28.656708,43232700
2020-04-29,30.040001,30.209999,28.730000,29.559999,29.069740,24628700
